product_id,component_id,required_quantity
1,26,27.58
1,760,22.4
2,693,89.23
2,759,8.79
3,33,50.58
3,31,2.75
3,96,19.96
3,224,65.02
3,239,54.54
4,460,80.96
4,604,0.75
4,285,80.6
5,349,76.37
5,285,10.31
5,160,38.05
5,221,35.96
5,981,34.46
6,827,53.67
6,45,97.31
6,748,37.92
6,471,55.25
7,592,4.68
7,197,22.87
7,722,29.01
7,72,8.07
8,888,27.87
8,104,63.6
8,390,36.55
9,364,70.21
9,215,68.39
9,687,7.23
9,274,63.53
10,168,27.07
10,474,92.55
10,389,68.85
11,702,76.85
11,333,5.69
11,864,82.2
12,411,91.32
12,275,56.76
12,68,71.82
12,217,21.34
13,406,14.37
13,906,14.05
13,937,74.52
13,659,53.94
13,470,74.73
14,920,99.73
14,598,13.92
14,409,49.4
14,371,75.6
14,225,86.12
15,643,68.08
15,164,59.68
15,812,38.54
16,542,94.25
16,258,68.06
16,995,11.54
16,567,88.49
16,882,75.11
17,115,45.43
17,301,95.39
17,446,87.6
17,162,26.41
18,520,87.06
18,935,29.91
18,109,63.93
19,157,16.24
19,383,95.35
19,781,92.25
20,614,48.91
20,332,11.28
21,900,24.02
21,852,24.16
21,827,56.78
21,315,7.97
22,836,12.66
22,71,66.01
22,779,94.69
22,546,16.6
22,785,52.81
23,988,73.02
23,217,20.19
23,952,31.24
23,553,99.52
23,774,65.02
24,922,22.55
24,530,33.87
24,463,58.87
24,124,23.09
24,254,22.1
25,725,5.98
25,647,6.83
26,881,7.18
26,339,23.88
27,220,88.25
27,553,57.66
27,136,24.38
27,741,47.35
27,958,40.77
28,100,43.16
28,675,42.42
29,885,98.42
29,747,9.93
29,56,40.32
29,690,34.0
29,670,86.18
30,197,44.92
30,195,42.25
30,550,27.93
31,896,44.37
31,946,86.15
31,78,55.08
32,668,83.62
32,554,96.9
33,171,48.19
33,417,86.48
33,498,90.25
34,389,26.59
34,3,78.43
34,400,45.56
35,714,66.22
35,981,48.72
35,749,19.07
35,803,21.85
35,570,5.94
36,766,5.81
36,322,58.46
37,59,8.1
37,984,18.66
37,521,59.54
38,414,89.04
38,123,24.7
38,965,59.49
39,430,58.41
39,674,52.33
40,210,23.94
40,686,39.64
40,734,67.2
40,322,30.07
41,952,1.03
41,770,62.15
41,959,56.34
41,75,10.09
42,519,93.33
42,272,88.1
42,136,87.94
43,292,54.37
43,162,30.32
43,449,98.39
43,854,80.73
44,684,55.5
44,837,93.18
45,962,13.52
45,900,11.63
46,761,15.63
46,567,28.25
47,735,68.78
47,352,85.31
47,209,50.59
48,928,9.32
48,930,42.42
48,867,27.74
48,53,0.45
