material_id,criticality_level
1,Alta
2,Baixa
3,Média
4,Alta
5,Baixa
6,Alta
7,Baixa
8,Alta
9,Baixa
10,Alta
11,Média
12,Média
13,Média
14,Média
15,Média
16,Baixa
17,Média
18,Alta
19,Média
20,Média
21,Média
22,Alta
23,Média
24,Média
25,Alta
26,Alta
27,Alta
28,Baixa
29,Alta
30,Alta
31,Média
32,Alta
33,Baixa
34,Alta
35,Alta
36,Alta
37,Baixa
38,Alta
39,Alta
40,Média
41,Média
42,Alta
43,Alta
44,Média
45,Baixa
46,Baixa
47,Alta
48,Baixa
49,Média
50,Alta
51,Média
52,Baixa
53,Alta
54,Baixa
55,Baixa
56,Média
57,Baixa
58,Média
59,Alta
60,Baixa
61,Média
62,Baixa
63,Baixa
64,Alta
65,Média
66,Média
67,Média
68,Baixa
69,Média
70,Baixa
71,Alta
72,Alta
73,Média
74,Alta
75,Média
76,Baixa
77,Alta
78,Alta
79,Baixa
80,Baixa
81,Média
82,Baixa
83,Baixa
84,Baixa
85,Alta
86,Baixa
87,Alta
88,Baixa
89,Média
90,Baixa
91,Média
92,Média
93,Média
94,Alta
95,Média
96,Baixa
97,Alta
98,Baixa
99,Média
100,Alta
101,Média
102,Alta
103,Alta
104,Média
105,Alta
106,Baixa
107,Alta
108,Alta
109,Baixa
110,Média
111,Baixa
112,Média
113,Baixa
114,Alta
115,Média
116,Média
117,Média
118,Média
119,Média
120,Baixa
121,Baixa
122,Média
123,Baixa
124,Alta
125,Baixa
126,Baixa
127,Média
128,Média
129,Média
130,Alta
131,Média
132,Alta
133,Média
134,Média
135,Baixa
136,Baixa
137,Baixa
138,Baixa
139,Baixa
140,Baixa
141,Alta
142,Baixa
143,Média
144,Alta
145,Alta
146,Média
147,Baixa
148,Baixa
149,Média
150,Alta
151,Baixa
152,Baixa
153,Alta
154,Alta
155,Baixa
156,Média
157,Média
158,Baixa
159,Média
160,Média
161,Média
162,Baixa
163,Média
164,Alta
165,Baixa
166,Média
167,Alta
168,Alta
169,Baixa
170,Média
171,Baixa
172,Baixa
173,Média
174,Alta
175,Média
176,Baixa
177,Alta
178,Alta
179,Média
180,Alta
181,Baixa
182,Média
183,Alta
184,Baixa
185,Baixa
186,Baixa
187,Baixa
188,Média
189,Média
190,Alta
191,Baixa
192,Baixa
193,Média
194,Baixa
195,Média
196,Baixa
197,Alta
198,Média
199,Média
200,Baixa
201,Média
202,Baixa
203,Baixa
204,Baixa
205,Média
206,Baixa
207,Alta
208,Baixa
209,Alta
210,Baixa
211,Média
212,Alta
213,Média
214,Baixa
215,Alta
216,Alta
217,Baixa
218,Alta
219,Alta
220,Alta
221,Baixa
222,Média
223,Alta
224,Média
225,Baixa
226,Baixa
227,Média
228,Média
229,Média
230,Baixa
231,Alta
232,Média
233,Baixa
234,Média
235,Baixa
236,Alta
237,Alta
238,Baixa
239,Alta
240,Alta
241,Alta
242,Alta
243,Baixa
244,Alta
245,Alta
246,Alta
247,Média
248,Alta
249,Baixa
250,Baixa
251,Alta
252,Média
253,Média
254,Alta
255,Média
256,Média
257,Alta
258,Baixa
259,Média
260,Média
261,Média
262,Média
263,Média
264,Baixa
265,Alta
266,Baixa
267,Alta
268,Alta
269,Baixa
270,Alta
271,Média
272,Alta
273,Média
274,Baixa
275,Baixa
276,Média
277,Média
278,Alta
279,Baixa
