material_id,material_name,material_type
1,Tempore - 10433218,Insumo Químico
2,Veritatis - 81960019,Catalisador
3,Esse - 38908385,Embalagem
4,Nihil - 37940263,Catalisador
5,Laboriosam - 42351160,Catalisador
6,Consequatur - 55940788,Aditivo
7,Cupiditate - 61849594,Embalagem
8,Earum - 10341315,Embalagem
9,Modi - 47525535,Embalagem
10,Velit - 41928325,Catalisador
11,Officiis - 64835037,Insumo Químico
12,Aliquid - 56413953,Embalagem
13,Error - 76724237,Catalisador
14,Ratione - 84969651,Aditivo
15,Est - 28710127,Insumo Químico
16,Sunt - 26916699,Aditivo
17,Omnis - 84801845,Insumo Químico
18,Temporibus - 51462703,Catalisador
19,Fuga - 82814892,Fertilizante
20,Eius - 25288094,Insumo Químico
21,Iste - 70154306,Aditivo
22,Excepturi - 91171825,Catalisador
23,Debitis - 78248960,Insumo Químico
24,Error - 83465789,Fertilizante
25,Odio - 13315092,Fertilizante
26,Quod - 39301031,Embalagem
27,Atque - 05183470,Embalagem
28,Error - 82997373,Aditivo
29,Nemo - 31165662,Insumo Químico
30,Omnis - 01065138,Insumo Químico
31,Earum - 38726248,Embalagem
32,Officiis - 31781084,Insumo Químico
33,Accusantium - 13267735,Insumo Químico
34,Natus - 02606477,Fertilizante
35,Illo - 68723439,Embalagem
36,Aspernatur - 98050093,Catalisador
37,Perferendis - 88208121,Embalagem
38,Atque - 91361936,Catalisador
39,Repellendus - 90916991,Fertilizante
40,Quasi - 54353466,Aditivo
41,Delectus - 47510791,Insumo Químico
42,Recusandae - 11838425,Fertilizante
43,Laudantium - 13542788,Insumo Químico
44,Voluptatibus - 49808414,Aditivo
45,Deleniti - 41182444,Aditivo
46,Sed - 35348740,Fertilizante
47,Asperiores - 16400528,Aditivo
48,Tempore - 42786801,Catalisador
49,Culpa - 12805983,Aditivo
50,Dignissimos - 62045056,Insumo Químico
51,Eos - 31586924,Insumo Químico
52,Ex - 22602565,Insumo Químico
53,Velit - 34216071,Insumo Químico
54,Est - 37543303,Catalisador
55,Unde - 36541454,Embalagem
56,Temporibus - 86850148,Fertilizante
57,Dolorum - 94019650,Insumo Químico
58,Ipsam - 69816932,Aditivo
59,Facere - 06088354,Insumo Químico
60,Non - 15951489,Aditivo
61,Ipsa - 65648230,Aditivo
62,Nihil - 62994682,Insumo Químico
63,A - 44369958,Catalisador
64,Omnis - 77387219,Aditivo
65,Id - 89513439,Aditivo
66,Eius - 20037918,Insumo Químico
67,Odit - 69367632,Aditivo
68,Dignissimos - 01632873,Aditivo
69,Architecto - 83172786,Insumo Químico
70,Ratione - 95798684,Insumo Químico
71,Occaecati - 27743485,Fertilizante
72,Placeat - 34714348,Catalisador
73,Iusto - 58122365,Catalisador
74,Voluptate - 23166585,Aditivo
75,Omnis - 60366900,Catalisador
76,Repellat - 67054664,Aditivo
77,Quidem - 89373460,Fertilizante
78,Placeat - 06562724,Insumo Químico
79,Soluta - 80699019,Insumo Químico
80,Temporibus - 62720465,Insumo Químico
81,Itaque - 37556464,Catalisador
82,Explicabo - 17080538,Fertilizante
83,Totam - 10033098,Catalisador
84,Dolor - 32719376,Catalisador
85,Voluptates - 45299124,Fertilizante
86,Ipsa - 19049663,Fertilizante
87,Eius - 19314914,Fertilizante
88,Recusandae - 05865185,Fertilizante
89,Tenetur - 50671656,Insumo Químico
90,Tempora - 72628492,Embalagem
91,Quidem - 77694539,Embalagem
92,Commodi - 47379961,Fertilizante
93,Labore - 07527357,Embalagem
94,Facilis - 54948082,Embalagem
95,Eaque - 13678371,Fertilizante
96,Tenetur - 77014368,Embalagem
97,Voluptate - 34957882,Catalisador
98,Laborum - 68557447,Aditivo
99,Explicabo - 31351829,Aditivo
100,Earum - 37498948,Fertilizante
101,Consequuntur - 34352403,Insumo Químico
102,Voluptatum - 82400842,Fertilizante
103,Voluptatem - 27109472,Insumo Químico
104,Perferendis - 75204716,Aditivo
105,At - 67190225,Fertilizante
