material_id,descricao,criticidade_engenharia,lead_time_dias,custo_unitario,consumo_mensal,estoque_atual,estoque_cobertura_meses,score_criticidade
MP-AMN-0204,Nitrato de amônio,5,31,370.43,145,111,0.7655172413793103,0.82881169071966
MP-H2SO4-0161,Ácido sulfúrico (H₂SO₄),4,48,287.23,156,66,0.4230769230769231,0.7828877337856142
MP-AMN-0306,Nitrato de amônio,5,42,173.94,126,74,0.5873015873015873,0.7810718601387318
IP-ADP-0385,Aditivo anti-empedrante granulação,5,36,215.39,60,53,0.8833333333333333,0.754262214825119
MP-DAP-0360,Fosfato diamônico (DAP),5,22,257.59,32,15,0.46875,0.752508807329259
MP-H2SO4-0228,Ácido sulfúrico (H₂SO₄),4,40,297.81,137,75,0.5474452554744526,0.7446150979529258
MP-AMN-0154,Nitrato de amônio,4,49,213.17,125,63,0.504,0.7393634593237024
MP-NH3-0233,Amônia anidra (NH₃),5,23,222.49,79,39,0.4936708860759494,0.7352164502908555
MP-H2SO4-0018,Ácido sulfúrico (H₂SO₄),5,27,217.76,103,70,0.6796116504854369,0.7342237085531091
MP-URE-0054,Ureia (46% N),5,25,183.24,129,50,0.3875968992248062,0.73064954748976
MP-URE-0394,Ureia (46% N),4,60,140.25,93,64,0.6881720430107527,0.7303392988063727
MP-URE-0164,Ureia (46% N),5,34,152.44,129,84,0.6511627906976745,0.7299826630856723
MP-MAP-0046,Fosfato monoamônico (MAP),5,29,200.36,143,103,0.7202797202797203,0.7296930350949232
MP-KCL-0039,Cloreto de potássio (KCl),4,37,273.49,195,84,0.4307692307692308,0.7280196680818485
MP-NH3-0138,Amônia anidra (NH₃),5,31,119.0,149,53,0.35570469798657717,0.7230541503839715
MP-KCL-0309,Cloreto de potássio (KCl),4,44,167.34,140,41,0.29285714285714287,0.7101396086678067
MP-AMN-0029,Nitrato de amônio,4,33,272.22,158,78,0.4936708860759494,0.7051841489795885
MP-MAP-0152,Fosfato monoamônico (MAP),4,35,256.29,106,60,0.5660377358490566,0.6988579159324018
IP-FLX-0344,Fluxo para granulação,5,36,146.66,35,39,1.1142857142857143,0.6970992593243514
MP-MAP-0289,Fosfato monoamônico (MAP),5,30,136.83,198,149,0.7525252525252525,0.696021693958032
IP-FLX-0118,Fluxo para granulação,5,32,145.37,36,33,0.9166666666666666,0.6957135691156953
IP-FLX-0101,Fluxo para granulação,5,20,215.48,28,22,0.7857142857142857,0.6945571141067927
IP-FLX-0319,Fluxo para granulação,4,47,210.27,41,42,1.024390243902439,0.6864114813330446
MP-H2SO4-0380,Ácido sulfúrico (H₂SO₄),4,55,141.98,93,91,0.978494623655914,0.6861969051263298
MP-KCL-0055,Cloreto de potássio (KCl),4,36,239.62,75,52,0.6933333333333334,0.6833589059535032
MP-KCL-0194,Cloreto de potássio (KCl),4,19,306.74,143,46,0.32167832167832167,0.6791852533390473
IP-ADP-0053,Aditivo anti-empedrante granulação,5,29,140.78,75,73,0.9733333333333334,0.6757867141276224
MP-KCL-0135,Cloreto de potássio (KCl),4,28,265.42,117,65,0.5555555555555556,0.6751265610337934
MP-AMN-0116,Nitrato de amônio,4,34,230.78,96,65,0.6770833333333334,0.671317704674523
SB-BOM-0108,Bomba centrífuga aço inox 3”,5,32,145.51,35,44,1.2571428571428571,0.6677438302265317
MP-URE-0234,Ureia (46% N),3,46,248.32,110,41,0.37272727272727274,0.6569699356308232
MP-DAP-0398,Fosfato diamônico (DAP),3,47,284.17,175,122,0.6971428571428572,0.6543757309143945
IP-ANT-0208,Antiespumante para reator,5,26,144.54,63,70,1.1111111111111112,0.6538115197561485
MP-URE-0259,Ureia (46% N),4,28,198.55,81,32,0.3950617283950617,0.6512418896037723
MP-DAP-0006,Fosfato diamônico (DAP),3,43,247.71,62,18,0.2903225806451613,0.6507078420094372
